,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,422304,790532470370340864,746776023262465920,neutral,remain,2016-10-24T12:36:42.000Z,"I thought it was fishy. I thought it was bad.Just makes me realise the left are so sad.
#BrexitForever
#Brexit
#LoveUK https://t.co/UegagLIWF0","['brexitforever', 'loveuk', 'brexit']"
31,31,31,31,31,31,1318733,1010998605178638336,974019358900084736,negative,leave,2018-06-24T21:30:25.000Z,@OwenJones84 I agree with you. The country would be furious to be forced to vote a second time. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
32,32,32,32,32,32,1702476,1015756910384074752,974019358900084736,neutral,leave,2018-07-08T00:38:13.000Z,@Femi_Sorry Remoaners getting their arses kicked. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
33,33,33,33,33,33,2967380,1029015845022953472,974019358900084736,positive,leave,2018-08-13T14:44:30.000Z,@ChukaUmunna Good. Time to train our own people. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
34,34,34,34,34,34,1702461,1015756437409222656,974019358900084736,positive,remain,2018-07-08T00:36:21.000Z,"@Go4gold100 @LadyMcGlinchey @chesterforeu @Femi_Sorry @DevaCaerCastra @elbapo @peoplesvote_uk @Wrexhamforeu @Gogs4Europe @teresafrommx @rachelashley8 It means being a ‘third country.’ I.e like most Countries on Earth, NOT in the EU. #Brexit #Brexitforever","['brexitforever', 'brexit']"
35,35,35,35,35,35,3066629,1030547604428472320,974019358900084736,neutral,other,2018-08-17T20:11:10.000Z,@OFOCBrexit And what’s wrong with liking a nation state more than a European Superstate? #Brexit #Brexitforever,"['brexitforever', 'brexit']"
36,36,36,36,36,36,3706220,1039061415682863104,974019358900084736,negative,other,2018-09-10T08:02:00.000Z,"@peoplesvote_uk @AMCarwyn The devolution settlement of 1997 contained the seeds of the UK’s destruction. Indeed, devolution was specifically designed to achieve this by weakening the nation-State. #Brexit #Brexitforever","['brexitforever', 'brexit']"
37,37,37,37,37,37,2634132,1024331482066821120,974019358900084736,negative,other,2018-07-31T16:30:31.000Z,"@Zombie_Jeebus @JoeTwyman @faisalislam Wow, talk about the battered wife relationship, trying to use the fear of violence to keep us in the EU! How do you think the British People would respond to that? #Brexit #Brexitforever","['brexitforever', 'brexit']"
38,38,38,38,38,38,3706221,1039061415682863104,974019358900084736,negative,other,2018-09-10T08:02:00.000Z,"@peoplesvote_uk @AMCarwyn The devolution settlement of 1997 contained the seeds of the UK’s destruction. Indeed, devolution was specifically designed to achieve this by weakening the nation-State. #Brexit #Brexitforever","['brexitforever', 'brexit']"
39,39,39,39,39,39,1702462,1015756437409222656,974019358900084736,positive,remain,2018-07-08T00:36:21.000Z,"@Go4gold100 @LadyMcGlinchey @chesterforeu @Femi_Sorry @DevaCaerCastra @elbapo @peoplesvote_uk @Wrexhamforeu @Gogs4Europe @teresafrommx @rachelashley8 It means being a ‘third country.’ I.e like most Countries on Earth, NOT in the EU. #Brexit #Brexitforever","['brexitforever', 'brexit']"
40,40,40,40,40,40,614393,1003047423642669056,974019358900084736,negative,other,2018-06-02T22:55:16.000Z,"@Reuters Na, just leave it. EU authoritarianism comes face to face with British pragmatism on the Irish border. The EU will come off worse #Brexit #Brexitforever","['brexitforever', 'brexit']"
41,41,41,41,41,41,1118219,1009204295089246208,974019358900084736,positive,remain,2018-06-19T22:40:28.000Z,"@hamishjohnhenry @SODEMAction Luckily they look young enough to live to a ripe old age, enabling them to see the EU crumble within their lifetimes, and to look back on their folly and feel shame at a mispent youth and at letting the country down. #Brexit #Brexitforever","['brexitforever', 'brexit']"
42,42,42,42,42,42,1318734,1010998605178638336,974019358900084736,negative,leave,2018-06-24T21:30:25.000Z,@OwenJones84 I agree with you. The country would be furious to be forced to vote a second time. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
43,43,43,43,43,43,1032924,1008293100001878016,974019358900084736,positive,leave,2018-06-17T10:19:42.000Z,@piablepebble @Emylevy @EU_Commission European countries superior to England? Please explain. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
44,44,44,44,44,44,1017611,1008113657300049920,974019358900084736,neutral,other,2018-06-16T22:26:40.000Z,@HuntedTeamNick @thegordonkerr @razwananwar @Ferretgrove Bring it on! #Brexit #Brexitforever,"['brexitforever', 'brexit']"
45,45,45,45,45,45,2204398,1019913797128065024,974019358900084736,positive,leave,2018-07-19T11:56:12.000Z,"@mediawhizz @andyrome64 @BritishInEurope I think it more likely the British Public will say “Well, you decided to live in Europe. Don’t drag the rest of us down with you.” #Brexit #Brexitforever","['brexitforever', 'brexit']"
