,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
90,90,90,4759425,1049757714417668096,163754779,positive,other,2018-10-09T20:25:17.000Z,"Brexit news latest: Majority of Brits now want to REMAIN in the EU, anaylsis of nearly 150 polls finds | London Evening Standard #StopBrexitSaveDemocracy #BrexitShambles #EuropeanUnion  https://t.co/6PC4zSJPaC","['brexitshambles', 'stopbrexitsavedemocracy', 'europeanunion']"
91,91,91,3461772,1035492264716525568,952262531166490624,positive,remain,2018-08-31T11:39:29.000Z,@kreppant @AllieHBNews Perhaps they could have a few slogans written on the sides?                                  Such as ‘This bus has more freedom of movement than you will after Brexit!’                          #StopBrexitSaveDemocracy #StopBrexit #BrexitShambles #fbpe #Crossrail,"['brexitshambles', 'stopbrexitsavedemocracy', 'fbpe', 'crossrail', 'stopbrexit']"
92,92,92,3461771,1035492264716525568,952262531166490624,positive,remain,2018-08-31T11:39:29.000Z,@kreppant @AllieHBNews Perhaps they could have a few slogans written on the sides?                                  Such as ‘This bus has more freedom of movement than you will after Brexit!’                          #StopBrexitSaveDemocracy #StopBrexit #BrexitShambles #fbpe #Crossrail,"['brexitshambles', 'stopbrexitsavedemocracy', 'fbpe', 'crossrail', 'stopbrexit']"
93,93,93,2699184,1025077679454863360,231431466,neutral,remain,2018-08-02T17:55:38.000Z,"Theresa May MP
Give People a Final Say on Brexit Deal - Sign the Petition&amp; RT https://t.co/3bHvFhfV3Z Currently standing at over 500,000 #StopBrexit #BrexitShambles #FBPE #ToriesOut #StopBrexitSaveBritain #StopBrexitSaveDemocracy #Remain #PeoplesVote #Brexit #Brexitchaos #R4Today","['brexitshambles', 'stopbrexitsavedemocracy', 'peoplesvote', 'toriesout', 'stopbrexitsavebritain', 'r4today', 'remain', 'fbpe', 'brexitchaos', 'brexit', 'stopbrexit']"
94,94,94,2699183,1025077679454863360,231431466,neutral,remain,2018-08-02T17:55:38.000Z,"Theresa May MP
Give People a Final Say on Brexit Deal - Sign the Petition&amp; RT https://t.co/3bHvFhfV3Z Currently standing at over 500,000 #StopBrexit #BrexitShambles #FBPE #ToriesOut #StopBrexitSaveBritain #StopBrexitSaveDemocracy #Remain #PeoplesVote #Brexit #Brexitchaos #R4Today","['brexitshambles', 'stopbrexitsavedemocracy', 'peoplesvote', 'toriesout', 'stopbrexitsavebritain', 'r4today', 'remain', 'fbpe', 'brexitchaos', 'brexit', 'stopbrexit']"
95,95,95,2697671,1025062286002716672,4783819303,neutral,remain,2018-08-02T16:54:28.000Z,"Soulsby calls for People's Vote 2nd Brexit referendum
#StopBrexit
#FBPE
#StopBrexitSaveBritain
#BrexitRussia
#BrexitShambles
#BrexitRussia
#CambridgeAnalytica
#StopBrexitSaveDemocracy
#StopBrexitSaveBritain 

https://t.co/8KWVK0DVb8","['brexitshambles', 'stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'brexitrussia', 'fbpe', 'cambridgeanalytica', 'stopbrexit']"
96,96,96,2697672,1025062286002716672,4783819303,neutral,remain,2018-08-02T16:54:28.000Z,"Soulsby calls for People's Vote 2nd Brexit referendum
#StopBrexit
#FBPE
#StopBrexitSaveBritain
#BrexitRussia
#BrexitShambles
#BrexitRussia
#CambridgeAnalytica
#StopBrexitSaveDemocracy
#StopBrexitSaveBritain 

https://t.co/8KWVK0DVb8","['brexitshambles', 'stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'brexitrussia', 'fbpe', 'cambridgeanalytica', 'stopbrexit']"
97,97,97,1652947,1015216012273373184,3432562233,negative,remain,2018-07-06T12:48:53.000Z,@dontbrexitfixit @BBC I dare the #Brexit #bullshit corporation to give you a straight answer. #StopBrexit #StopBrexitSaveDemocracy #BrexitShambles #ToriesOut #ToryLies #PCPEU https://t.co/kEwcKmmCly,"['brexitshambles', 'stopbrexitsavedemocracy', 'toriesout', 'pcpeu', 'torylies', 'bullshit', 'brexit', 'stopbrexit']"
98,98,98,1652948,1015216012273373184,3432562233,negative,remain,2018-07-06T12:48:53.000Z,@dontbrexitfixit @BBC I dare the #Brexit #bullshit corporation to give you a straight answer. #StopBrexit #StopBrexitSaveDemocracy #BrexitShambles #ToriesOut #ToryLies #PCPEU https://t.co/kEwcKmmCly,"['brexitshambles', 'stopbrexitsavedemocracy', 'toriesout', 'pcpeu', 'torylies', 'bullshit', 'brexit', 'stopbrexit']"
99,99,99,3220705,1032548407087439872,272090271,positive,remain,2018-08-23T08:41:38.000Z,"Are you a Brexit-Smugger? Brexit at all costs because you can afford it? Well most of the nation can’t afford to. So wherever this is going, let’s raise the voice of the people to a better place!  #Brexitsmugger #peoplesvote #StopBrexitSaveDemocracy","['brexitsmugger', 'stopbrexitsavedemocracy', 'peoplesvote']"
100,100,100,3220706,1032548407087439872,272090271,positive,remain,2018-08-23T08:41:38.000Z,"Are you a Brexit-Smugger? Brexit at all costs because you can afford it? Well most of the nation can’t afford to. So wherever this is going, let’s raise the voice of the people to a better place!  #Brexitsmugger #peoplesvote #StopBrexitSaveDemocracy","['brexitsmugger', 'stopbrexitsavedemocracy', 'peoplesvote']"
101,101,101,3917898,1041588895232786432,403316973,negative,remain,2018-09-17T07:25:19.000Z,"@theresa_may on #BBCRadio4 says #brexit will be ‘important’ for UK. Will also be disasterous, harmful, biggest act of self harm ever done to a country &amp; biggest action based on lies! #StopBrexitSaveDemocracy #brexshit","['brexshit', 'brexit', 'bbcradio4', 'stopbrexitsavedemocracy']"
102,102,102,3917899,1041588895232786432,403316973,negative,remain,2018-09-17T07:25:19.000Z,"@theresa_may on #BBCRadio4 says #brexit will be ‘important’ for UK. Will also be disasterous, harmful, biggest act of self harm ever done to a country &amp; biggest action based on lies! #StopBrexitSaveDemocracy #brexshit","['brexshit', 'brexit', 'bbcradio4', 'stopbrexitsavedemocracy']"
103,103,103,3803310,1040170456093999104,698558387408207872,negative,other,2018-09-13T09:28:56.000Z,#Brexit is blown for what it really is - a few greedy fools who’ve been bribed by #Russia to help @VladimirPutin24 break #NATO and invade Eastern Europe or possibly all of it (yes including #Britain). This should be on the front page every day. #StopBrexitSaveDemocracy https://t.co/RKQLZK71mF,"['britain', 'stopbrexitsavedemocracy', 'russia', 'brexit', 'nato']"
104,104,104,3803309,1040170456093999104,698558387408207872,negative,other,2018-09-13T09:28:56.000Z,#Brexit is blown for what it really is - a few greedy fools who’ve been bribed by #Russia to help @VladimirPutin24 break #NATO and invade Eastern Europe or possibly all of it (yes including #Britain). This should be on the front page every day. #StopBrexitSaveDemocracy https://t.co/RKQLZK71mF,"['britain', 'stopbrexitsavedemocracy', 'russia', 'brexit', 'nato']"
105,105,105,2081487,1019110507264073728,581208856,positive,other,2018-07-17T06:44:13.000Z,"@guyverhofstadt 
Help! 👋
This is the official #Brexit campaign containing minsters &amp; MPs &amp; our Government don't care.
The #British people have been conned!
#StopBrexitSaveDemocracy https://t.co/2yKghS0fbY","['british', 'stopbrexitsavedemocracy', 'brexit']"
106,106,106,2081486,1019110507264073728,581208856,positive,other,2018-07-17T06:44:13.000Z,"@guyverhofstadt 
Help! 👋
This is the official #Brexit campaign containing minsters &amp; MPs &amp; our Government don't care.
The #British people have been conned!
#StopBrexitSaveDemocracy https://t.co/2yKghS0fbY","['british', 'stopbrexitsavedemocracy', 'brexit']"
