,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1570569,746060218476470272,1631132276,neutral,leave,2016-06-23T19:19:51.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/nGC6ym8Owx,"['brexit', 'euref', 'voteout', 'ivoted']"
1576398,746078297138794496,399015213,neutral,leave,2016-06-23T20:31:42.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/yFFGTpETRY,"['brexit', 'euref', 'voteout', 'ivoted']"
1582053,746094496929169408,731423670,neutral,leave,2016-06-23T21:36:04.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/sKtXgFHl9K,"['brexit', 'euref', 'voteout', 'ivoted']"
1585746,746104027142889472,2748912885,neutral,leave,2016-06-23T22:13:56.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/x6fJGoUkCD,"['brexit', 'euref', 'voteout', 'ivoted']"
1560909,746027023102054400,3624140429,neutral,leave,2016-06-23T17:07:57.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/QX9wW2UoXM,"['brexit', 'euref', 'voteout', 'ivoted']"
1576559,746078798936969216,2231851043,neutral,leave,2016-06-23T20:33:41.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/ikcU0ehSDN,"['brexit', 'euref', 'voteout', 'ivoted']"
1578360,746085405532033024,500204605,neutral,leave,2016-06-23T20:59:56.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/PwSh39gwXX,"['brexit', 'euref', 'voteout', 'ivoted']"
1557950,746016990725300224,4052266155,neutral,leave,2016-06-23T16:28:05.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/QzrpSU62fk","['brexit', 'euref', 'voteout', 'ivoted']"
1552292,746028771573141504,630486541,neutral,leave,2016-06-23T17:14:54.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/Lo8eclT2cN,"['brexit', 'euref', 'voteout', 'ivoted']"
1586095,746104857950584832,162459425,neutral,leave,2016-06-23T22:17:14.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/AeP77Hv2xp,"['brexit', 'euref', 'voteout', 'ivoted']"
1576337,746078074320658432,3025583181,neutral,leave,2016-06-23T20:30:49.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/jmmwPlI2C1,"['brexit', 'euref', 'voteout', 'ivoted']"
1571583,746063185288003584,724519292,neutral,leave,2016-06-23T19:31:39.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/6blcyxLaAQ","['brexit', 'euref', 'voteout', 'ivoted']"
1573259,746068240393183232,420287818,neutral,leave,2016-06-23T19:51:44.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/pOubBMSpEp,"['brexit', 'euref', 'voteout', 'ivoted']"
1556721,746013000658726912,2844530413,neutral,leave,2016-06-23T16:12:14.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/tR1eqVkzo9","['brexit', 'euref', 'voteout', 'ivoted']"
1542843,745969208341725184,1528566337,neutral,leave,2016-06-23T13:18:13.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/HEbAZrVkZe,"['brexit', 'euref', 'voteout', 'ivoted']"
1579978,746089225473429504,3158645082,neutral,leave,2016-06-23T21:15:07.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/uBoQGTNoev","['brexit', 'euref', 'voteout', 'ivoted']"
1554359,746005278974447616,3082699200,neutral,leave,2016-06-23T15:41:33.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/N2yfsDy5I9,"['brexit', 'euref', 'voteout', 'ivoted']"
1557976,746017060296269824,736284473294217216,neutral,leave,2016-06-23T16:28:22.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/KdgsKZ7XnC,"['brexit', 'euref', 'voteout', 'ivoted']"
1580079,746089534249644032,174664022,neutral,leave,2016-06-23T21:16:21.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/E5CPIjJavB,"['brexit', 'euref', 'voteout', 'ivoted']"
1565926,746044883484442624,19616214,neutral,leave,2016-06-23T18:18:55.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/nqgbRBq9h2,"['brexit', 'euref', 'voteout', 'ivoted']"
1567762,746051357824663552,614509177,neutral,leave,2016-06-23T18:44:39.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/CrD4YOIsqA,"['brexit', 'euref', 'voteout', 'ivoted']"
1550557,745993340915716096,2951077216,neutral,leave,2016-06-23T14:54:07.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/3TYsMoOIZv,"['brexit', 'euref', 'voteout', 'ivoted']"
1574540,746072345643745280,2443083093,neutral,leave,2016-06-23T20:08:03.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/ulfzC6VG0n","['brexit', 'euref', 'voteout', 'ivoted']"
1556637,746012755279364096,2875165393,neutral,leave,2016-06-23T16:11:15.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/qKBVNNX4KM,"['brexit', 'euref', 'voteout', 'ivoted']"
