,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
138,138,138,1746259,1016215819234299904,75518233,neutral,other,2018-07-09T07:01:46.000Z,Oh My God! #DavidDavisResigns #DavisResigns #DavidDavis the #BrexitSecretary has Resigned! #ToryBrexitShambles #toriesout #MayMustGo #mayout #brexit https://t.co/IGrroCpjKk via @YouTube,"['toriesout', 'mayout', 'daviddavisresigns', 'maymustgo', 'torybrexitshambles', 'brexitsecretary', 'davisresigns', 'brexit', 'daviddavis']"
139,139,139,2117892,1019256304412610560,384533439,neutral,remain,2018-07-17T16:23:34.000Z,"The 'Brexit dividend' money Theresa May promised for the NHS is a myth, Government's official spending watchdog confirms https://t.co/wfYwXI4E4a - #BrexitChaos #Brexit #TheresaMayMustGo #ToryBrexitShambles #ToriesOUT #GE18","['toriesout', 'torybrexitshambles', 'brexitchaos', 'ge18', 'brexit', 'theresamaymustgo']"
140,140,140,2117893,1019256304412610560,384533439,neutral,remain,2018-07-17T16:23:34.000Z,"The 'Brexit dividend' money Theresa May promised for the NHS is a myth, Government's official spending watchdog confirms https://t.co/wfYwXI4E4a - #BrexitChaos #Brexit #TheresaMayMustGo #ToryBrexitShambles #ToriesOUT #GE18","['toriesout', 'torybrexitshambles', 'brexitchaos', 'ge18', 'brexit', 'theresamaymustgo']"
141,141,141,2163603,1019582997941678080,805515175,negative,other,2018-07-18T14:01:44.000Z,Labour will never support Theresa May's flawed Brexit blueprint - Keir Starmer https://t.co/ch4atejzsX #Labour #ForTheMany #brexit #ToriesOut #Chequers #ToryBrexitShambles,"['toriesout', 'torybrexitshambles', 'forthemany', 'chequers', 'labour', 'brexit']"
142,142,142,2163602,1019582997941678080,805515175,negative,other,2018-07-18T14:01:44.000Z,Labour will never support Theresa May's flawed Brexit blueprint - Keir Starmer https://t.co/ch4atejzsX #Labour #ForTheMany #brexit #ToriesOut #Chequers #ToryBrexitShambles,"['toriesout', 'torybrexitshambles', 'forthemany', 'chequers', 'labour', 'brexit']"
143,143,143,2390336,1022033168101265408,383277136,negative,remain,2018-07-25T08:17:50.000Z,"Could the NHS running out of supplies after #BREXIT be the final excuse the Tories need to close it down?
#ToriesOut #ToryBrexitShambles #JC4PM 
#Stockpiling","['toriesout', 'torybrexitshambles', 'jc4pm', 'stockpiling', 'brexit']"
144,144,144,2390337,1022033168101265408,383277136,negative,remain,2018-07-25T08:17:50.000Z,"Could the NHS running out of supplies after #BREXIT be the final excuse the Tories need to close it down?
#ToriesOut #ToryBrexitShambles #JC4PM 
#Stockpiling","['toriesout', 'torybrexitshambles', 'jc4pm', 'stockpiling', 'brexit']"
145,145,145,2272608,1020936170480467968,3432562233,negative,remain,2018-07-22T07:38:45.000Z,@Haggis_UK It's obvious that #Brexiters have been taken for mugs. It's time to #StopBrexit and end the #Madness. The leadership of #Brexit should be locked up for #Brexitshambles they've caused. #ToriesOut #ToryBrexitShambles #BrexitChaos #BrexitRussia #PCPEU https://t.co/BgHyZf266o,"['toriesout', 'torybrexitshambles', 'pcpeu', 'brexiters', 'madness', 'brexitchaos', 'brexitrussia', 'brexitshambles', 'brexit', 'stopbrexit']"
146,146,146,2272607,1020936170480467968,3432562233,negative,remain,2018-07-22T07:38:45.000Z,@Haggis_UK It's obvious that #Brexiters have been taken for mugs. It's time to #StopBrexit and end the #Madness. The leadership of #Brexit should be locked up for #Brexitshambles they've caused. #ToriesOut #ToryBrexitShambles #BrexitChaos #BrexitRussia #PCPEU https://t.co/BgHyZf266o,"['toriesout', 'torybrexitshambles', 'pcpeu', 'brexiters', 'madness', 'brexitchaos', 'brexitrussia', 'brexitshambles', 'brexit', 'stopbrexit']"
147,147,147,2068953,1018969361489518592,3432562233,negative,remain,2018-07-16T21:23:21.000Z,"@aljwhite @chunkymark #ToriesInTurmoil hope they rip themselves apart! But @Anna_Soubry is right about #Brexit! Understating it really, millions will be worse off! #ToriesOut #ToryBrexitShambles #StopBrexit #BrexitWhitePaper #ToryRacism #PCPEU https://t.co/ktl3oRXIoL","['toriesout', 'torybrexitshambles', 'pcpeu', 'toriesinturmoil', 'brexitwhitepaper', 'brexit', 'toryracism', 'stopbrexit']"
