,t_stance,size,Date
260,remain,64021,2019-04-19
261,leave,45765,2019-05-03
262,other,159745,2019-05-03
263,remain,100262,2019-05-03
264,leave,66978,2019-05-17
265,other,234124,2019-05-17
266,remain,155754,2019-05-17
267,leave,42832,2019-05-31
268,other,166738,2019-05-31
269,remain,99806,2019-05-31
270,leave,35058,2019-06-14
271,other,133199,2019-06-14
272,remain,86636,2019-06-14
273,leave,35951,2019-06-28
274,other,129775,2019-06-28
275,remain,85799,2019-06-28
276,leave,37582,2019-07-12
277,other,139356,2019-07-12
278,remain,99668,2019-07-12
279,leave,44191,2019-07-26
280,other,170983,2019-07-26
281,remain,115229,2019-07-26
282,leave,48374,2019-08-09
283,other,186775,2019-08-09
284,remain,118335,2019-08-09
285,leave,66524,2019-08-23
286,other,257267,2019-08-23
287,remain,177306,2019-08-23
288,leave,50806,2019-09-06
289,other,206724,2019-09-06
290,remain,139570,2019-09-06
291,leave,40312,2019-09-20
292,other,154665,2019-09-20
293,remain,100313,2019-09-20
